364,319
383,312
416,307
440,336
429,354
361,364
338,362
354,299
291,386
259,372
468,319
281,410
261,414
563,311
538,275
583,286
601,286
540,236
221,367
246,320
241,300
228,296
247,276
227,278
186,277
311,272
416,296
465,308
513,222
496,199
518,193
564,170
558,188
569,205
610,201
649,224
626,229
653,247
498,189
523,181
538,167
536,141
524,113
471,131
509,128
475,170
467,142
427,167
407,190
386,170
436,237
455,219
371,167
368,140
375,115
352,121
417,139
431,114
450,68
402,47
427,51
375,56
333,72
308,81
299,102
321,105
298,149
341,174
354,201
294,222
265,219
261,188
287,176
248,141
220,101
231,70
168,169
159,149
171,126
207,161
184,89
587,415
645,401
650,380
674,407
672,383
